"school","city","state","region","conference","division"
"Pasco-Hernando State College","New Port Richey","Florida","South East","Florida College System Activities Association","JC"
"Passaic County Community College","Paterson","New Jersey","North East","New Jersey Athletic Conference","JC"
"Paul Quinn College","Dallas","Texas","Mid South","Red River Athletic Conference","NAIA"
"Pearl River Community College","Poplarville","Mississippi","Mid South","Mississippi Association of Community Colleges Conference","JC"
"Peninsula College","Port Angeles","Washington","West Coast","Northwest Athletic Conference","JC"
"Penn State","University Park","Pennsylvania","North East","Big Ten Conference","NCAA D1"
"Penn State Berks","Reading","Pennsylvania","North East","United East","NCAA D3"
"Penn State Harrisburg","Middletown","Pennsylvania","North East","Capital Athletic Conference","NCAA D3"
"Pennsylvania College of Technology","Williamsport","Pennsylvania","North East","North Eastern Athletic Conference","NCAA D3"
"Pennsylvania Highlands Community College","Johnstown","Pennsylvania","North East","Western Pennsylvania Collegiate Conference (WPCC)","JC"
"Pensacola State College","Pensacola","Florida","South East","Florida College System Activities Association","JC"
"Pepperdine University","Malibu","California","West Coast","West Coast Conference","NCAA D1"
"Peru State College","Peru","Nebraska","Mid West","Heart of America Athletic Conference","NAIA"
"Pfeiffer University","Misenheimer","North Carolina","Mid East","USA South Athletic Conference","NCAA D3"
"Phoenix College","Phoenix","Arizona","South West","Arizona Community College Athletic Conference","JC"
"Piedmont University","Demorest","Georgia","South East","USA South Athletic Conference","NCAA D3"
"Pierce College at Fort Steilacoom","Lakewood","Washington","West Coast","Northwest Athletic Conference","JC"
"Pima Community College","Tucson","Arizona","South West","Arizona Community College Athletic Conference","JC"
"Pitt Community College","Winterville","North Carolina","Mid East","NJCAA Region 10","JC"
"Pittsburg State University","Pittsburg","Kansas","Mid West","Mid-America Intercollegiate Athletics Association","NCAA D2"
"Plymouth State University","Plymouth","New Hampshire","New England","Massachusetts State Collegiate Athletic Conference","NCAA D3"
"Point Loma Nazarene University","San Diego","California","West Coast","Pacific West Conference","NCAA D2"
"Point Park University","Pittsburgh","Pennsylvania","North East","River States Conference","NAIA"
"Point University","West Point","Georgia","South East","Appalachian Athletic Conference","NAIA"
"Polk State College","Winter Haven","Florida","South East","Florida College System Activities Association","JC"
"Pomona-Pitzer Colleges","Claremont","California","West Coast","Southern California Intercollegiate Athletic Conference","NCAA D3"
"Porterville College","Porterville","California","West Coast","Central Valley Conference","JC"
"Portland Community College — Cascade Campus","Portland","Oregon","West Coast","Northwest Athletic Conference","JC"
"Portland State University","Portland","Oregon","West Coast","Big Sky Conference","NCAA D1"
"Post University","Waterbury","Connecticut","New England","Central Atlantic Collegiate Conference (Division II)","NCAA D2"
"Prairie State College","Chicago Heights","Illinois","Great Lakes","NJCAA Region 4","JC"
"Prairie View A & M University","Prairie View","Texas","Mid South","Southwestern Athletic Conference","NCAA D1"
"Pratt Community College","Pratt","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Pratt Institute","Brooklyn","New York","North East","Coast to Coast Conference","NCAA D3"
"Presbyterian College","Clinton","South Carolina","South East","Big South Conference","NCAA D1"
"Presentation College","Aberdeen","South Dakota","North West","North Star Athletic Association","NAIA"
"Prince George's Community College","Largo","Maryland","North East","Maryland JUCO Athletic Conference","JC"
"Princeton University","Princeton","New Jersey","North East","Ivy League","NCAA D1"
"Principia College","Elsah","Illinois","Great Lakes","St. Louis Intercollegiate Athletic Conference","NCAA D3"
"Providence College","Providence","Rhode Island","New England","Big East Conference","NCAA D1"
"Purdue University","West Lafayette","Indiana","Great Lakes","Big Ten Conference","NCAA D1"
"Purdue University – Fort Wayne","Fort Wayne","Indiana","Great Lakes","Horizon League","NCAA D1"
"Purdue University – Northwest","Hammond","Indiana","Great Lakes","Chicagoland Collegiate Athletic Conference","NCAA D2"
"Queens University of Charlotte","Charlotte","North Carolina","Mid East","South Atlantic Conference","NCAA D2"
"Quincy University","Quincy","Illinois","Great Lakes","Great Lakes Valley Conference","NCAA D2"
"Quinnipiac University","Hamden","Connecticut","New England","Metro Atlantic Athletic Conference","NCAA D1"
"Quinsigamond Community College","Worcester","Massachusetts","New England","NJCAA Region 21","JC"
"Radford University","Radford","Virginia","Mid East","Big South Conference","NCAA D1"
"Rainy River Community College","International Falls","Minnesota","Mid West","Minnesota Community College Conference","JC"
"Ramapo College of New Jersey","Mahwah","New Jersey","North East","New Jersey Athletic Conference","NCAA D3"
"Randolph College","Lynchburg","Virginia","Mid East","Old Dominion Athletic Conference","NCAA D3"
"Randolph-Macon College","Ashland","Virginia","Mid East","Old Dominion Athletic Conference","NCAA D3"
"Ranger College","Ranger","Texas","Mid South","NJCAA Region 5","JC"
"Raritan Valley Community College","Branchburg","New Jersey","North East","Garden State Athletic Conference","JC"
"Redlands Community College","El Reno","Oklahoma","Mid South","NJCAA Region 2","JC"
"Regis College","Weston","Massachusetts","New England","Great Northeast Athletic Conference","NCAA D3"
"Regis University","Denver","Colorado","South West","Rocky Mountain Athletic Conference","NCAA D2"
"Reinhardt University","Waleska","Georgia","South East","Appalachian Athletic Conference","NAIA"
"Rend Lake College","Ina","Illinois","Great Lakes","Great Rivers Athletic Conference","JC"
"Rensselaer Polytechnic Institute – RPI","Troy","New York","North East","Liberty League","NCAA D3"
"Rhode Island College","Providence","Rhode Island","New England","Little East Conference","NCAA D3"
"Rhodes College","Memphis","Tennessee","Mid East","Southern Collegiate Athletic Conference","NCAA D3"
"Rice University","Houston","Texas","Mid South","Conference USA","NCAA D1"
"Richard Bland College","South Prince George","Virginia","Mid East","NJCAA Region 10","JC"
"Richland College","Dallas","Texas","Mid South","NJCAA Region 5","JC"
"Rider University","Lawrenceville","New Jersey","North East","Metro Atlantic Athletic Conference","NCAA D1"
"Ridgewater College","Willmar","Minnesota","Mid West","Minnesota Community College Conference","JC"
"Ripon College","Ripon","Wisconsin","Great Lakes","Midwest Conference","NCAA D3"
"Riverland Community College","Austin","Minnesota","Mid West","Minnesota Community College Athletic Conference","JC"
"Rivier University","Nashua","New Hampshire","New England","Great Northeast Athletic Conference","NCAA D3"
"Roanoke College","Salem","Virginia","Mid East","Old Dominion Athletic Conference","NCAA D3"
"Robert Morris University – Pennsylvania","Moon Township","Pennsylvania","North East","Horizon League","NCAA D1"
"Roberts Wesleyan College","Rochester","New York","North East","East Coast Conference","NCAA D2"
"Rochester Community & Technical College","Rochester","Minnesota","Mid West","Minnesota Community College Athletic Conference","JC"
"Rochester Institute of Technology","Rochester","New York","North East","Liberty League","NCAA D3"
"Rochester University","Rochester Hills","Michigan","Great Lakes","Wolverine-Hoosier Athletic Conference","NAIA"
"Rock Valley College","Rockford","Illinois","Great Lakes","North Central College","JC"
"Rockford University","Rockford","Illinois","Great Lakes","Northern Athletics Collegiate Conference","NCAA D3"
"Rockhurst University","Kansas City","Missouri","Mid West","Great Lakes Valley Conference","NCAA D2"
"Rockingham Community College","Wentworth","North Carolina","Mid East","NJCAA Region 10","JC"
"Rocky Mountain College","Billings","Montana","North West","Frontier Conference","NAIA"
"Roger Williams University","Bristol","Rhode Island","New England","Commonwealth Coast Conference","NCAA D3"
"Rogers State University","Claremore","Oklahoma","Mid South","Heartland Conference","NCAA D2"
"Rollins College","Winter Park","Florida","South East","Sunshine State Conference","NCAA D2"
"Roosevelt University","Chicago","Illinois","Great Lakes","Chicagoland Collegiate Athletic Conference","NAIA"
"Rose-Hulman Institute of Technology","Terre Haute","Indiana","Great Lakes","Heartland Collegiate Athletic Conference","NCAA D3"
"Rosemont College","Rosemont","Pennsylvania","North East","Colonial States Athletic Conference","NCAA D3"
"Rowan College – South Jersey (Formerly Cumberland County College)","Vineland","New Jersey","North East","Garden State Athletic Conference","JC"
"Rowan College – South Jersey (Gloucester)","Sewell","New Jersey","North East","Garden State Athletic Conference","JC"
"Rowan University","Glassboro","New Jersey","North East","New Jersey Athletic Conference","NCAA D3"
"Roxbury Community College","Roxbury Crossing","Massachusetts","New England","NJCAA Region 21","JC"
"Russell Sage College","Troy","New York","North East","Empire 8 Athletic Conference","NCAA D3"
"Rutgers University","Piscataway","New Jersey","North East","Big Ten Conference","NCAA D1"
"Rutgers University – Newark","Newark","New Jersey","North East","New Jersey Athletic Conference; Eastern College Athletic Conference; Eastern Intercollegiate Volleyball Association","NCAA D3"
"Sacramento City College","Sacramento","California","West Coast","Bay Valley Conference","JC"
"Sacred Heart University","Fairfield","Connecticut","New England","Northeast Conference","NCAA D1"
"Saddleback College","Mission Viejo","California","West Coast","Orange Empire Conference","JC"
"Saginaw Valley State University","University Center","Michigan","Great Lakes","Great Lakes Intercollegiate Athletic Conference","NCAA D2"
"Saint Anselm College","Manchester","New Hampshire","New England","Northeast-10 Conference","NCAA D2"
"Saint Augustine's University","Raleigh","North Carolina","Mid East","Central Intercollegiate Athletic Association","NCAA D2"
"Saint Elizabeth University","Morristown","New Jersey","North East","North Eastern Athletic Conference","NCAA D3"
"Saint Francis University","Loretto","Pennsylvania","North East","Northeast Conference","NCAA D1"
"Saint John's University – Minnesota","Collegeville","Minnesota","Mid West","Minnesota Intercollegiate Athletic Conference","NCAA D3"
"Saint Joseph's College of Maine","Standish","Maine","New England","Great Northeast Athletic Conference","NCAA D3"
"Saint Joseph's University","Philadelphia","Pennsylvania","North East","Atlantic 10 Conference","NCAA D1"
"Saint Leo University","Saint Leo","Florida","South East","Sunshine State Conference","NCAA D2"
"Saint Louis University","St. Louis","Missouri","Mid West","Atlantic 10 Conference","NCAA D1"
"Saint Martin's University","Lacey","Washington","West Coast","Great Northwest Athletic Conference","NCAA D2"
"Saint Mary's College of California","Moraga","California","West Coast","West Coast Conference","NCAA D1"
"Saint Mary's University of Minnesota","Winona","Minnesota","Mid West","Minnesota Intercollegiate Athletic Conference","NCAA D3"
"Saint Michael's College","Colchester","Vermont","New England","Northeast-10 Conference","NCAA D2"
"Saint Peter's University","Jersey City","New Jersey","North East","Metro Atlantic Athletic Conference","NCAA D1"
